Codi,Provincia,Cla,Subclase,Especie,Rumbo,Dist,Fac,CD,DiamIf3,DiamIf2,HeiIf3
172573,17,A,1,046,41,2.09,127.32,25,23.55,20.8,10
172575,17,A,1,046,120,13.39,14.14,30,30.15,25.65,12.5
172576,17,A,1,046,193,14.19,14.14,30,29.45,24.7,11
172577,17,A,1,046,68,12.89,14.14,30,30.75,23.1,9.5
172582,17,A,1,023,153,6.09,31.83,20,20.8,17.9,12
172583,17,A,1,046,26,7,31.83,25,26,24.95,12
172585,17,A,1,046,82,11.5,14.14,30,32.25,31.15,11
172586,17,A,1,046,44,9.1,31.83,25,23.25,21.1,7.5
172587,17,A,1,042,177,5.09,31.83,30,29.35,23.4,14.5
172589,17,A,1,023,51,7.8,31.83,45,46.25,41.2,13
172590,17,A,1,072,108,5.09,31.83,25,25.25,21.8,14.5
172591,17,A,1,046,122,6.5,31.83,20,20.55,19.2,6.5
172593,17,A,1,046,89,7.3,31.83,20,18.4,17.5,8
172596,17,A,1,023,114,11.5,14.14,30,32.1,27.35,14
172598,17,A,1,023,154,12.3,14.14,35,33.1,29.1,14
172599,17,A,1,023,209,6,31.83,30,30.9,25.4,10.5
172600,17,A,1,045,146,3.2,127.32,40,37.9,30.6,14
172601,17,A,1,042,111,4.5,127.32,10,9.85,9.1,6.5
172603,17,A,1,045,118,5.19,31.83,20,19.35,19.2,5
172604,17,A,1,046,42,8.6,31.83,40,39.85,39.35,13.5
172605,17,A,1,046,78,14.5,14.14,25,27,26.85,9.5
172606,17,A,1,045,80,1.39,127.32,15,12.8,9.5,6
172607,17,A,1,028,232,2.9,127.32,20,18.8,9.55,16
172613,17,A,1,046,89,9.6,31.83,15,16.9,15.75,4.5
172620,17,A,1,046,90,4.09,127.32,20,18.35,19,7.5
172622,17,A,1,046,53,12.89,14.14,25,24.4,23.75,8
172630,17,A,1,042,164,3.29,127.32,25,25.5,19.2,15.5
172632,17,A,1,023,64,4.59,127.32,20,22.35,18.85,11
172633,17,A,1,071,151,6,31.83,30,30.8,27.6,17.5
172634,17,A,1,045,28,8.89,31.83,15,13.35,13.15,6
172637,17,A,1,045,92,5.09,31.83,10,12,9.6,6
172638,17,A,1,045,15,5.5,31.83,20,18.75,14.25,13
172641,17,A,1,046,166,7.59,31.83,15,15.65,15.3,8
172651,17,A,1,042,67,8.3,31.83,20,19.2,17.15,17
172654,17,A,1,046,230,12.5,14.14,25,23,23.3,9.5
172668,17,A,1,046,91,7.3,31.83,40,37.65,33.55,12.5
172670,17,A,1,046,95,10.69,14.14,30,29.9,28,10.5
172672,17,A,1,046,196,7.8,31.83,30,30.7,27.9,9.5
172675,17,A,1,046,81,2.09,127.32,15,13.7,12.2,7
172677,17,A,1,042,51,3.09,127.32,15,14.15,11.75,12.5
172678,17,A,1,243,174,9.3,31.83,20,18,15.8,12.5
172683,17,A,1,046,40,12.3,14.14,40,39.45,36.45,10.5
172684,17,A,1,045,353,8.69,31.83,35,36.65,30,14.5
172689,17,A,1,046,380,3.79,127.32,15,14.05,11.05,5.5
172690,17,A,1,258,196,7.69,31.83,35,36.55,24.15,30
172692,17,A,1,026,61,9.89,31.83,25,25.4,15.5,15
172693,17,A,1,046,55,1.89,127.32,15,14.5,13.75,5.5
172694,17,A,1,023,193,13.39,14.14,30,30.9,24.25,10.5
172695,17,A,1,046,144,8.5,31.83,20,20.9,18.95,7.5
172698,17,A,1,046,31,5.5,31.83,15,15.5,13.35,6.5
172703,17,A,1,046,104,14.6,14.14,25,25.4,22.7,10.5
172705,17,A,1,042,58,4.69,127.32,10,11.45,8.8,10.5
172707,17,A,1,046,320,8.1,31.83,20,17.75,14.15,7.5
172713,17,A,1,046,244,8.69,31.83,25,25.75,23.7,9.5
172717,17,A,1,026,86,10,14.14,25,23.55,16.55,11.5
172718,17,A,1,023,173,3.9,127.32,15,16.75,15.45,7.5
172719,17,A,1,046,80,5.8,31.83,20,18,16.6,6
172720,17,A,1,046,89,10.39,14.14,15,16.45,15.75,7
172721,17,A,1,046,163,10.8,14.14,15,16.5,14.55,6.5
172722,17,A,1,046,201,14.39,14.14,40,41.35,40.25,7
172725,17,A,1,026,126,8.19,31.83,30,27.95,18.5,14
172727,17,A,1,023,140,12.39,14.14,25,26.15,24.1,11
172728,17,A,1,023,73,12.89,14.14,30,32,28.5,11
172729,17,A,1,023,107,9.19,31.83,20,22.2,20.1,10
172731,17,A,1,023,175,1.89,127.32,10,11.2,9.5,10
172733,17,A,1,046,214,14.8,14.14,30,28.85,26.4,10
172735,17,A,1,046,102,9.3,31.83,20,17.8,13.5,5
172736,17,A,1,023,60,4.59,127.32,15,14.45,12.35,11
172737,17,A,1,046,138,6.4,31.83,20,19.7,17.2,5.5
172738,17,A,1,046,118,12.3,14.14,40,37.55,31.6,11.5
172740,17,A,1,046,214,5.3,31.83,35,34.2,37.4,8.5
172741,17,A,1,023,45,11.5,14.14,30,31.85,28.25,13.5
172742,17,A,1,046,332,5.4,31.83,15,15.95,12.55,5.5
172747,17,A,1,023,93,6.3,31.83,30,30.4,24.9,10
172748,17,A,1,046,124,8.3,31.83,35,32.9,30.9,9
172750,17,A,1,046,277,7.19,31.83,25,23.2,21.65,8.5
172753,17,A,1,046,362,6.9,31.83,15,14.75,12.95,4.5
