Codi,Provincia,Cla,Subclase,Especie,Rumbo,Dist,Fac,CD,DiamIf3,DiamIf2,HeiIf3
431133,43,A,1,045,342,7.9,31.83,15,17.15,14.2,7.5
431140,43,A,1,045,323,2.2,127.32,10,9.45,8.8,7.5
431143,43,A,1,024,399,5.59,31.83,15,16.7,14.8,11
431150,43,A,1,045,244,7.69,31.83,15,14.4,13.65,7.5
431168,43,A,1,024,252,3.9,127.32,15,13.95,10.25,9.5
431173,43,A,1,024,255,11.69,14.14,35,35.05,30.8,9.89
431207,43,A,1,024,349,7.59,31.83,15,16.35,15.7,5.5
431236,43,A,1,024,269,9.1,31.83,20,20.1,17.55,9
431244,43,A,1,024,271,5.09,31.83,30,28.55,25.15,13.5
431247,43,A,1,044,339,1.89,127.32,10,7.9,7.65,3
431255,43,A,1,024,159,6,31.83,25,22.95,20.05,7.5
431256,43,A,1,024,223,12.3,14.14,35,33.85,31.5,8
431258,43,A,1,024,355,7.8,31.83,20,19.6,19.45,9
431264,43,A,1,024,363,10.19,14.14,15,15.85,13.65,5
